"date","hour","soil1_moss","soil1_5cm","soil1_10cm","soil1_20cm","soil1_50cm","soil1_100cm","soil1_150cm"
2015-05-13,600,-0.049,-0.107,-0.056,-0.218,-0.583,-0.965,-1.181
2015-05-13,900,-0.066,0.522,-0.023,-0.216,-0.563,-0.943,-1.18
2015-05-13,1200,0.043,1.338,0.058,-0.142,-0.508,-0.887,-1.111
2015-05-13,1500,0.022,1.965,0.046,-0.156,-0.527,-0.903,-1.119
2015-05-13,1800,0.113,1.77,0.088,-0.1,-0.499,-0.883,-1.068
2015-05-13,2100,0.114,0.955,0.063,-0.114,-0.499,-0.883,-1.077
2015-05-13,2400,0.092,-0.147,0.012,-0.139,-0.511,-0.891,-1.096
2015-05-14,300,-0.036,-0.536,-0.072,-0.217,-0.566,-0.934,-1.155
2015-05-14,600,-0.037,0.089,-0.053,-0.208,-0.555,-0.927,-1.153
2015-05-14,900,-0.05,1.546,-0.013,-0.209,-0.54,-0.908,-1.149
2015-05-14,1200,-0.022,6.824,0.103,-0.179,-0.51,-0.871,-1.122
2015-05-14,1500,0.098,8.38,0.223,-0.121,-0.483,-0.855,-1.072
2015-05-14,1800,1.038,9.37,0.397,-0.142,-0.494,-0.862,-1.089
2015-05-14,2100,1.312,6.874,0.534,-0.121,-0.475,-0.844,-1.069
2015-05-14,2400,0.572,3.353,0.349,-0.124,-0.479,-0.845,-1.068
2015-05-15,300,0.573,3.533,0.383,-0.168,-0.509,-0.869,-1.105
2015-05-15,600,1.321,5.805,0.727,-0.157,-0.497,-0.856,-1.096
2015-05-15,900,2.609,8.84,1.207,-0.155,-0.494,-0.854,-1.097
2015-05-15,1200,3.372,9.56,1.568,-0.12,-0.473,-0.833,-1.069
2015-05-15,1500,3.786,9.52,1.849,-0.129,-0.478,-0.835,-1.078
2015-05-15,1800,6.882,15.8,3.24,-0.105,-0.474,-0.833,-1.067
2015-05-15,2100,4.062,11.99,2.604,-0.078,-0.457,-0.82,-1.041
2015-05-15,2400,0.78,3.195,0.83,-0.07,-0.443,-0.805,-1.022
2015-05-16,300,0.04,1.056,0.116,-0.142,-0.491,-0.848,-1.08
2015-05-16,600,0.114,3.79,0.829,-0.16,-0.497,-0.856,-1.1
2015-05-16,900,3.808,13.17,4.101,-0.151,-0.4,-0.824,-1.116
2015-05-16,1200,9.56,20.34,6.495,-0.092,-0.292,-0.769,-1.09
2015-05-16,1500,10.78,21.3,6.305,-0.03,-0.102,-0.716,-1.038
2015-05-16,1800,7.66,17.05,4.855,0.003,-0.002,-0.666,-1.004
2015-05-16,2100,4.029,11.77,3.174,-0.013,0.006,-0.638,-1.013
2015-05-16,2400,0.434,2.36,0.661,-0.021,0.013,-0.603,-1.006
2015-05-17,300,0.041,0.37,0.013,-0.083,-0.032,-0.622,-1.058
2015-05-17,600,0.006,3.816,0.789,-0.086,-0.036,-0.61,-1.069
2015-05-17,900,2.667,9.85,3.033,-0.065,-0.034,-0.593,-1.071
2015-05-17,1200,7.112,15.49,5.286,-0.011,-0.011,-0.562,-1.044
2015-05-17,1500,11.24,22.83,7.551,0.03,-0.006,-0.549,-1.035
2015-05-17,1800,9.41,18.9,6.75,0.072,0.018,-0.522,-0.998
2015-05-17,2100,6.546,15.78,5.449,0.063,0.011,-0.52,-0.997
2015-05-17,2400,2.426,5.02,2.229,0.09,0.052,-0.476,-0.943
2015-05-18,300,0.154,1.186,0.292,-0.013,-0.009,-0.524,-1.008
2015-05-18,600,0.294,5.36,1.472,-0.044,-0.037,-0.542,-1.044
2015-05-18,900,4.58,16.57,6.542,-0.004,-0.033,-0.528,-1.059
2015-05-18,1200,11.71,25.15,10.28,0.082,-0.008,-0.501,-1.034
2015-05-18,1500,14.81,29.29,10.6,0.142,0.004,-0.494,-0.996
2015-05-18,1800,11.81,23.79,9.08,0.211,0.045,-0.456,-0.927
2015-05-18,2100,6.248,13.55,5.461,0.151,0.028,-0.468,-0.938
2015-05-18,2400,1.88,3.545,2.055,0.136,0.047,-0.444,-0.905
2015-05-19,300,0.209,-0.794,-0.019,0.018,-0.019,-0.496,-0.969
2015-05-19,600,-0.047,2.889,0.735,-0.041,-0.062,-0.531,-1.019
2015-05-19,900,2.624,14.67,6.663,0.048,-0.033,-0.499,-1.018
2015-05-19,1200,10.66,21.35,9.85,0.155,0.002,-0.458,-0.979
2015-05-19,1500,14.32,22.63,9.67,0.295,0.043,-0.426,-0.889
2015-05-19,1800,11.35,17.88,7.889,0.295,0.038,-0.432,-0.88
2015-05-19,2100,7.36,11.3,5.736,0.24,0.03,-0.435,-0.898
2015-05-19,2400,2.886,3.1,2.317,0.148,0.013,-0.447,-0.909
2015-05-20,300,0.63,-0.079,0.359,0.06,-0.017,-0.469,-0.93
2015-05-20,600,0.043,3.549,1.18,0.001,-0.056,-0.502,-0.982
2015-05-20,900,3.583,16.31,8.15,0.16,-0.033,-0.472,-0.985
2015-05-20,1200,11.52,22.26,11.38,0.397,0.011,-0.427,-0.932
2015-05-20,1500,15.44,25.38,11.49,0.549,0.03,-0.415,-0.873
2015-05-20,1800,12.96,20.37,9.82,0.625,0.036,-0.413,-0.848
2015-05-20,2100,7.819,12.1,7.191,0.6,0.023,-0.418,-0.879
2015-05-20,2400,4.235,6.861,4.238,0.548,0.015,-0.421,-0.88
